,date,1w,2w,1m,2m,3m,4m,5m,6m,9m,12m,18m,2y
2018-11-14,2018-11-14,-0.28,-0.84,-0.37,-0.61,-0.39,-0.5,-0.54,-0.49,-0.5,-0.44,-0.51,-0.53
2018-11-15,2018-11-15,-0.63,-0.77,-0.5,-0.72,-0.53,-0.59,-0.56,-0.58,-0.56,-0.56,-0.55,-0.55
2018-11-16,2018-11-16,-0.68,-0.81,-0.69,-0.79,-0.6,-0.71,-0.71,-0.63,-0.6,-0.61,-0.6,-0.56
2018-11-19,2018-11-19,-0.28,-0.77,-0.66,-0.81,-0.58,-0.59,-0.58,-0.52,-0.53,-0.54,-0.59,-0.54
2018-11-20,2018-11-20,-0.63,-0.76,-0.63,-0.69,-0.54,-0.56,-0.54,-0.51,-0.47,-0.5,-0.55,-0.51
2018-11-21,2018-11-21,-0.18,-0.35,-0.66,-0.79,-0.57,-0.56,-0.55,-0.51,-0.5,-0.54,-0.52,-0.51
2018-11-22,2018-11-22,-0.18,-0.6,-0.63,-0.66,-0.58,-0.57,-0.54,-0.55,-0.53,-0.56,-0.56,-0.51
2018-11-23,2018-11-23,-0.54,-0.41,-0.56,-0.68,-0.61,-0.57,-0.56,-0.54,-0.5,-0.54,-0.53,-0.5
2018-11-26,2018-11-26,-0.54,-0.43,-0.6,-0.75,-0.61,-0.56,-0.55,-0.54,-0.54,-0.55,-0.53,-0.5
2018-11-27,2018-11-27,-0.54,-0.43,-0.57,-0.69,-0.6,-0.51,-0.54,-0.5,-0.5,-0.55,-0.57,-0.55
2018-11-28,2018-11-28,-0.8,-0.71,-0.47,-0.65,-0.52,-0.45,-0.48,-0.42,-0.45,-0.49,-0.56,-0.54
2018-11-29,2018-11-29,-0.81,-0.71,-0.58,-0.48,-0.49,-0.36,-0.38,-0.36,-0.42,-0.46,-0.51,-0.53
2018-11-30,2018-11-30,-0.27,-0.31,-0.45,-0.49,-0.46,-0.4,-0.41,-0.38,-0.42,-0.47,-0.47,-0.46
2018-12-03,2018-12-03,-0.45,-0.35,-0.46,-0.45,-0.4,-0.37,-0.38,-0.38,-0.39,-0.46,-0.53,-0.54
2018-12-04,2018-12-04,-0.41,-0.38,-0.34,-0.3,-0.21,-0.26,-0.26,-0.29,-0.33,-0.4,-0.51,-0.53
2018-12-05,2018-12-05,-0.6,-0.39,-0.53,-0.42,-0.25,-0.28,-0.27,-0.26,-0.26,-0.33,-0.51,-0.56
2018-12-06,2018-12-06,-0.6,-0.51,-0.44,-0.43,-0.29,-0.23,-0.23,-0.22,-0.24,-0.32,-0.51,-0.56
2018-12-07,2018-12-07,-1.18,-0.72,-0.45,-0.38,-0.26,-0.24,-0.23,-0.27,-0.29,-0.37,-0.48,-0.54
2018-12-10,2018-12-10,-0.87,-1.09,-0.51,-0.46,-0.22,-0.29,-0.28,-0.3,-0.3,-0.36,-0.47,-0.53
2018-12-11,2018-12-11,-1.22,-1.29,-0.82,-0.63,-0.29,-0.37,-0.35,-0.3,-0.31,-0.37,-0.4,-0.48
2018-12-12,2018-12-12,-2.03,-1.91,-1.18,-0.72,-0.44,-0.4,-0.37,-0.33,-0.33,-0.39,-0.45,-0.52
2018-12-13,2018-12-13,-1.4,-1.7,-1.25,-0.66,-0.48,-0.36,-0.32,-0.3,-0.3,-0.35,-0.48,-0.56
2018-12-14,2018-12-14,-3.67,-1.91,-1.14,-0.72,-0.45,-0.4,-0.34,-0.3,-0.32,-0.37,-0.49,-0.59
2018-12-17,2018-12-17,-2.88,-2.09,-1.31,-0.8,-0.46,-0.42,-0.37,-0.34,-0.37,-0.42,-0.48,-0.6
2018-12-18,2018-12-18,-3.4,-2.7,-1.53,-0.89,-0.51,-0.44,-0.39,-0.35,-0.37,-0.41,-0.47,-0.59
2018-12-19,2018-12-19,-1.73,-2.12,-1.62,-0.72,-0.55,-0.48,-0.4,-0.37,-0.37,-0.39,-0.4,-0.52
2018-12-20,2018-12-20,-2.94,-2.23,-1.7,-0.58,-0.65,-0.34,-0.33,-0.31,-0.34,-0.37,-0.44,-0.52
2018-12-21,2018-12-21,-4.23,-1.96,-1.41,-0.52,-0.44,-0.33,-0.32,-0.31,-0.34,-0.41,-0.49,-0.59
2018-12-24,2018-12-24,-2.95,-1.72,-0.92,-0.51,-0.38,-0.33,-0.32,-0.31,-0.34,-0.41,-0.48,-0.58
2018-12-25,2018-12-25,-1.37,-1.91,-0.93,-0.62,-0.37,-0.3,-0.3,-0.26,-0.31,-0.4,-0.45,-0.54
2018-12-26,2018-12-26,-2.06,-2.06,-1.5,-0.76,-0.41,-0.54,-0.47,-0.47,-0.45,-0.5,-0.46,-0.57
2018-12-27,2018-12-27,-1.53,-1.69,-1.4,-0.72,-0.58,-0.48,-0.34,-0.35,-0.36,-0.47,-0.52,-0.59
2018-12-28,2018-12-28,-2.14,-1.95,-1.32,-0.75,-0.45,-0.48,-0.34,-0.35,-0.36,-0.47,-0.48,-0.62
2018-12-31,2018-12-31,-1.54,-1.7,-1.33,-0.75,-0.44,-0.48,-0.34,-0.35,-0.36,-0.47,-0.48,-0.62
2019-01-01,2019-01-01,-1.62,-1.5,-1.38,-0.66,-0.48,-0.45,-0.35,-0.35,-0.38,-0.44,-0.49,-0.63
2019-01-02,2019-01-02,-1.19,-1.5,-1.08,-0.79,-0.46,-0.49,-0.39,-0.46,-0.45,-0.54,-0.58,-0.71
2019-01-03,2019-01-03,-1.36,-1.5,-1.07,-0.77,-0.53,-0.48,-0.43,-0.46,-0.49,-0.5,-0.5,-0.58
2019-01-04,2019-01-04,-2.04,-1.41,-1.37,-0.72,-0.58,-0.5,-0.46,-0.5,-0.5,-0.5,-0.48,-0.55
2019-01-07,2019-01-07,-1.3,-1.25,-1.17,-0.72,-0.59,-0.58,-0.52,-0.51,-0.5,-0.51,-0.48,-0.53
2019-01-08,2019-01-08,-1.3,-1.29,-1.16,-0.71,-0.49,-0.54,-0.5,-0.49,-0.49,-0.5,-0.49,-0.59
2019-01-09,2019-01-09,-1.22,-1.26,-1.21,-0.82,-0.52,-0.55,-0.53,-0.53,-0.57,-0.58,-0.48,-0.58
2019-01-10,2019-01-10,-1.22,-1.3,-1.16,-0.85,-0.59,-0.63,-0.58,-0.54,-0.6,-0.61,-0.58,-0.65
2019-01-11,2019-01-11,-1.93,-1.29,-1.32,-0.82,-0.58,-0.65,-0.6,-0.61,-0.62,-0.62,-0.58,-0.65
2019-01-14,2019-01-14,-0.87,-0.94,-1.06,-0.8,-0.69,-0.63,-0.65,-0.62,-0.63,-0.62,-0.59,-0.66
2019-01-15,2019-01-15,-0.69,-0.69,-0.9,-0.59,-0.62,-0.52,-0.52,-0.56,-0.57,-0.58,-0.58,-0.67
2019-01-16,2019-01-16,-0.69,-0.32,-0.73,-0.37,-0.55,-0.37,-0.39,-0.43,-0.48,-0.52,-0.55,-0.62
2019-01-17,2019-01-17,-0.25,-0.24,-0.67,-0.39,-0.3,-0.29,-0.32,-0.36,-0.41,-0.44,-0.5,-0.57
2019-01-18,2019-01-18,-0.06,-0.07,-0.22,-0.57,-0.28,-0.24,-0.27,-0.29,-0.36,-0.42,-0.52,-0.6
2019-01-21,2019-01-21,-0.24,-0.28,-0.19,-0.52,-0.27,-0.25,-0.29,-0.28,-0.38,-0.43,-0.45,-0.58
2019-01-22,2019-01-22,-0.25,-0.28,-0.2,-0.33,-0.24,-0.28,-0.29,-0.31,-0.37,-0.42,-0.43,-0.54
2019-01-23,2019-01-23,-0.25,-0.24,-0.26,-0.3,-0.28,-0.27,-0.3,-0.31,-0.37,-0.4,-0.46,-0.5
2019-01-24,2019-01-24,-0.25,-0.28,-0.26,-0.38,-0.29,-0.29,-0.31,-0.32,-0.35,-0.4,-0.42,-0.43
2019-01-25,2019-01-25,-0.2,-0.12,-0.27,-0.29,-0.3,-0.21,-0.31,-0.24,-0.35,-0.38,-0.46,-0.47
2019-01-28,2019-01-28,0.02,-0.08,-0.18,-0.19,-0.32,-0.18,-0.21,-0.24,-0.27,-0.34,-0.46,-0.49
2019-01-29,2019-01-29,0.11,-0.12,-0.12,-0.04,-0.18,-0.13,-0.14,-0.17,-0.25,-0.32,-0.46,-0.53
2019-01-30,2019-01-30,-0.43,-0.46,-0.02,-0.13,-0.15,-0.21,-0.25,-0.28,-0.35,-0.4,-0.48,-0.56
2019-01-31,2019-01-31,-0.39,-0.38,-0.56,-0.22,-0.15,-0.17,-0.21,-0.22,-0.29,-0.35,-0.45,-0.49
2019-02-01,2019-02-01,-0.16,-0.4,-0.35,-0.22,-0.2,-0.18,-0.23,-0.25,-0.31,-0.35,-0.39,-0.39
2019-02-04,2019-02-04,-0.3,-0.38,-0.28,-0.33,-0.21,-0.18,-0.2,-0.21,-0.26,-0.32,-0.42,-0.44
2019-02-05,2019-02-05,-0.21,-0.3,-0.38,-0.32,-0.2,-0.22,-0.19,-0.22,-0.28,-0.32,-0.41,-0.4
2019-02-06,2019-02-06,-0.3,-0.43,-0.41,-0.34,-0.26,-0.28,-0.27,-0.31,-0.32,-0.36,-0.45,-0.46
2019-02-07,2019-02-07,-0.3,-0.64,-0.43,-0.5,-0.26,-0.36,-0.28,-0.35,-0.37,-0.39,-0.46,-0.42
2019-02-08,2019-02-08,-0.17,-0.71,-0.54,-0.6,-0.4,-0.37,-0.27,-0.33,-0.36,-0.34,-0.44,-0.38
2019-02-11,2019-02-11,-0.22,-0.43,-0.47,-0.37,-0.39,-0.29,-0.27,-0.31,-0.32,-0.33,-0.43,-0.42
2019-02-12,2019-02-12,-0.22,-0.26,-0.28,-0.35,-0.28,-0.25,-0.26,-0.24,-0.28,-0.33,-0.42,-0.42
2019-02-13,2019-02-13,-0.22,-0.26,-0.12,-0.23,-0.24,-0.2,-0.21,-0.21,-0.28,-0.31,-0.44,-0.46
2019-02-14,2019-02-14,-0.13,-0.31,-0.17,-0.22,-0.19,-0.2,-0.23,-0.22,-0.3,-0.33,-0.4,-0.43
2019-02-15,2019-02-15,-0.31,-0.32,-0.1,-0.27,-0.23,-0.34,-0.34,-0.23,-0.3,-0.34,-0.4,-0.43
2019-02-18,2019-02-18,-0.31,-0.31,-0.2,-0.33,-0.26,-0.27,-0.31,-0.3,-0.37,-0.38,-0.46,-0.48
2019-02-19,2019-02-19,-0.31,-0.31,-0.34,-0.34,-0.26,-0.27,-0.3,-0.33,-0.35,-0.37,-0.47,-0.47
2019-02-20,2019-02-20,-0.4,-0.39,-0.31,-0.35,-0.29,-0.24,-0.28,-0.28,-0.31,-0.34,-0.44,-0.47
2019-02-21,2019-02-21,-0.77,-0.48,-0.29,-0.32,-0.26,-0.26,-0.28,-0.29,-0.32,-0.35,-0.44,-0.48
2019-02-22,2019-02-22,-0.31,-0.47,-0.31,-0.32,-0.26,-0.26,-0.28,-0.29,-0.34,-0.35,-0.42,-0.46
2019-02-25,2019-02-25,-0.49,-0.31,-0.35,-0.33,-0.3,-0.26,-0.29,-0.3,-0.35,-0.37,-0.44,-0.5
2019-02-26,2019-02-26,-0.21,-0.44,-0.34,-0.34,-0.3,-0.22,-0.23,-0.23,-0.29,-0.35,-0.44,-0.43
2019-02-27,2019-02-27,-0.31,-0.36,-0.35,-0.33,-0.32,-0.22,-0.24,-0.25,-0.31,-0.35,-0.43,-0.4
2019-02-28,2019-02-28,-0.13,-0.15,-0.39,-0.29,-0.27,-0.23,-0.22,-0.22,-0.29,-0.31,-0.39,-0.41
2019-03-01,2019-03-01,0.1,-0.37,-0.23,-0.29,-0.22,-0.23,-0.23,-0.23,-0.27,-0.33,-0.4,-0.47
2019-03-04,2019-03-04,-0.13,-0.15,-0.2,-0.29,-0.26,-0.22,-0.23,-0.22,-0.28,-0.32,-0.39,-0.44
2019-03-05,2019-03-05,-0.31,-0.36,-0.26,-0.3,-0.28,-0.24,-0.24,-0.24,-0.27,-0.33,-0.48,-0.47
2019-03-06,2019-03-06,-0.13,-0.32,-0.35,-0.35,-0.29,-0.26,-0.24,-0.25,-0.25,-0.35,-0.45,-0.48
2019-03-07,2019-03-07,-0.41,-0.32,-0.37,-0.36,-0.3,-0.27,-0.26,-0.26,-0.28,-0.35,-0.43,-0.44
2019-03-08,2019-03-08,-0.05,-0.18,-0.3,-0.35,-0.27,-0.28,-0.26,-0.26,-0.31,-0.36,-0.4,-0.41
2019-03-11,2019-03-11,-0.23,-0.33,-0.28,-0.36,-0.28,-0.26,-0.26,-0.26,-0.32,-0.36,-0.45,-0.51
2019-03-12,2019-03-12,-0.31,-0.36,-0.3,-0.38,-0.26,-0.3,-0.27,-0.28,-0.31,-0.36,-0.45,-0.49
2019-03-13,2019-03-13,-0.5,-0.69,-0.44,-0.38,-0.3,-0.33,-0.32,-0.29,-0.34,-0.38,-0.41,-0.45
2019-03-14,2019-03-14,-0.32,-0.69,-0.44,-0.47,-0.35,-0.33,-0.31,-0.33,-0.36,-0.4,-0.47,-0.45
2019-03-15,2019-03-15,-0.58,-0.57,-0.56,-0.47,-0.36,-0.3,-0.31,-0.32,-0.35,-0.38,-0.44,-0.44
2019-03-18,2019-03-18,-0.68,-0.57,-0.55,-0.52,-0.38,-0.32,-0.34,-0.34,-0.35,-0.38,-0.44,-0.44
2019-03-19,2019-03-19,-0.59,-0.57,-0.59,-0.52,-0.38,-0.38,-0.34,-0.34,-0.35,-0.4,-0.49,-0.54
2019-03-20,2019-03-20,-0.5,-0.57,-0.56,-0.46,-0.38,-0.34,-0.34,-0.34,-0.34,-0.37,-0.48,-0.47
2019-03-21,2019-03-21,-0.41,-0.49,-0.51,-0.44,-0.38,-0.33,-0.3,-0.28,-0.3,-0.37,-0.54,-0.57
2019-03-22,2019-03-22,-0.45,-0.52,-0.51,-0.44,-0.38,-0.3,-0.3,-0.3,-0.31,-0.39,-0.51,-0.54
2019-03-25,2019-03-25,-0.59,-0.69,-0.55,-0.46,-0.37,-0.36,-0.34,-0.33,-0.33,-0.4,-0.41,-0.45
2019-03-26,2019-03-26,-1.03,-0.78,-0.63,-0.46,-0.38,-0.36,-0.37,-0.36,-0.38,-0.44,-0.49,-0.51
2019-03-27,2019-03-27,-0.85,-0.78,-0.61,-0.52,-0.45,-0.37,-0.38,-0.38,-0.37,-0.41,-0.46,-0.45
2019-03-28,2019-03-28,-0.58,-0.77,-0.64,-0.48,-0.4,-0.32,-0.34,-0.34,-0.34,-0.42,-0.46,-0.45
2019-03-29,2019-03-29,-0.98,-0.72,-0.57,-0.54,-0.4,-0.37,-0.36,-0.35,-0.35,-0.36,-0.42,-0.42
2019-04-01,2019-04-01,-0.85,-0.73,-0.57,-0.52,-0.35,-0.37,-0.37,-0.36,-0.39,-0.41,-0.47,-0.5
2019-04-02,2019-04-02,-0.5,-0.61,-0.62,-0.49,-0.42,-0.37,-0.32,-0.33,-0.37,-0.4,-0.45,-0.49
2019-04-03,2019-04-03,-0.5,-0.57,-0.52,-0.5,-0.43,-0.37,-0.39,-0.35,-0.36,-0.39,-0.45,-0.49
2019-04-04,2019-04-04,-0.5,-0.49,-0.52,-0.48,-0.43,-0.39,-0.38,-0.35,-0.35,-0.41,-0.45,-0.48
2019-04-05,2019-04-05,-0.45,-0.47,-0.5,-0.42,-0.41,-0.35,-0.37,-0.35,-0.33,-0.37,-0.44,-0.47
2019-04-08,2019-04-08,-0.5,-0.53,-0.49,-0.43,-0.36,-0.36,-0.37,-0.37,-0.36,-0.39,-0.45,-0.47
2019-04-09,2019-04-09,-0.49,-0.53,-0.46,-0.44,-0.34,-0.33,-0.34,-0.36,-0.34,-0.39,-0.48,-0.47
2019-04-10,2019-04-10,-0.49,-0.44,-0.5,-0.44,-0.35,-0.34,-0.34,-0.35,-0.32,-0.36,-0.44,-0.4
2019-04-11,2019-04-11,-0.4,-0.45,-0.46,-0.41,-0.35,-0.32,-0.32,-0.33,-0.3,-0.34,-0.4,-0.38
2019-04-12,2019-04-12,-0.45,-0.47,-0.41,-0.39,-0.36,-0.3,-0.3,-0.29,-0.3,-0.33,-0.41,-0.45
